text,label
"Hello,

Your account has been suspended on your Instagram account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://secure-instagram-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Instagram team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Your account has been suspended on your LinkedIn account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://linkedin.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the LinkedIn team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Meera,

Here's the invoice for your recent purchase, receipt #355135. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Priya",0
"Attention:

Your payment could not be processed on your Chase Bank account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://192.168.44.12/chasebank/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the Chase Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Meera,

Attaching the notes from today's class on databases. Assignment 3 is due next Friday. Reach out during office hours if you need help.

Best,
Sneha",0
"Hi Arjun,

Thanks for signing up for our newsletter. Here are this week's top articles on network security. You can manage your subscription preferences anytime from your account settings.

Best,
The Editorial Team",0
"Dear Valued User,

Your payment could not be processed on your Netflix account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://secure-netflix-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Netflix team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Ravi,

Thanks for signing up for our newsletter. Here are this week's top articles on databases. You can manage your subscription preferences anytime from your account settings.

Best,
The Editorial Team",0
"Hi Anjali,

Attaching the notes from today's class on operating systems. Assignment 3 is due next Friday. Reach out during office hours if you need help.

Best,
Divya",0
"Dear Customer,

Immediate action required on your DHL account. Enter your login credentials to restore full access.

Click here to verify: http://dhl-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Ravi,

Just a reminder that our team meeting is scheduled for Thursday at 11:00 AM. Please review the attached agenda before then and let me know if you have questions.

Thanks,
Divya",0
"Hi Ravi,

Congrats on finishing the project milestone! Let's sync up Monday to plan next steps. I've shared the doc in our shared drive.

Best,
Anjali",0
"Attention:

You have won a prize on your Chase Bank account. Verify now to claim your reward before it expires.

Click here to verify: http://bit.ly/3xJ89kQ

Please act now to prevent unauthorized access to your account. This is an automated security message from the Chase Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Sneha,

Attaching the notes from today's class on machine learning. Assignment 3 is due next Tuesday. Reach out during office hours if you need help.

Best,
Divya",0
"Hi Divya,

Congrats on finishing the project milestone! Let's sync up Wednesday to plan next steps. I've shared the doc in our shared drive.

Best,
Alex",0
"Dear Priya,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Sneha",0
"Hi Sneha,

Attaching the notes from today's class on operating systems. Assignment 3 is due next Tuesday. Reach out during office hours if you need help.

Best,
Anjali",0
"Hi Karthik,

Just a reminder that our team meeting is scheduled for Monday at 4:00 PM. Please review the attached agenda before then and let me know if you have questions.

Thanks,
Anjali",0
"Dear Valued User,

We noticed a login from a new device on your HDFC Bank account. Verify now to claim your reward before it expires.

Click here to verify: http://hdfcbank.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the HDFC Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Your subscription has expired on your Netflix account. Update your billing information now to avoid service interruption.

Click here to verify: http://netflix.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Netflix team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello Arjun,

Your order #681478 has shipped and is expected to arrive by Thursday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Hi Anjali,

Here's the invoice for your recent purchase, receipt #517500. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Priya",0
"Dear Arjun,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Divya",0
"Hi Arjun,

Attaching the notes from today's class on databases. Assignment 3 is due next Monday. Reach out during office hours if you need help.

Best,
Sneha",0
"Hello Divya,

Your order #777273 has shipped and is expected to arrive by Wednesday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Attention:

Your account has been suspended on your Instagram account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://instagram-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the Instagram team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Sneha,

Just a reminder that our team meeting is scheduled for Thursday at 10:00 AM. Please review the attached agenda before then and let me know if you have questions.

Thanks,
Arjun",0
"Hey Meera,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Wednesday.

Cheers,
Karthik",0
"Hi Karthik,

Here's the invoice for your recent purchase, receipt #802559. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Alex",0
"Dear Sam,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Sam",0
"Hi Divya,

Attaching the notes from today's class on network security. Assignment 3 is due next Friday. Reach out during office hours if you need help.

Best,
Sam",0
"Dear Customer,

Your payment could not be processed on your LinkedIn account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://bit.ly/3xJ52kQ

Please act now to prevent unauthorized access to your account. This is an automated security message from the LinkedIn team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

Your account will be permanently closed within 24 hours on your Instagram account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://instagram.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the Instagram team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Karthik,

Attaching the notes from today's class on data structures. Assignment 3 is due next Thursday. Reach out during office hours if you need help.

Best,
Karthik",0
"Hi Meera,

Just a reminder that our team meeting is scheduled for Wednesday at 4:00 PM. Please review the attached agenda before then and let me know if you have questions.

Thanks,
Meera",0
"Hi Sneha,

Here's the invoice for your recent purchase, receipt #584106. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Divya",0
"Hi Sam,

Attaching the notes from today's class on data structures. Assignment 3 is due next Wednesday. Reach out during office hours if you need help.

Best,
Alex",0
"Hello,

Your parcel could not be delivered on your Chase Bank account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://192.168.44.12/chasebank/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the Chase Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Karthik,

Thanks for signing up for our newsletter. Here are this week's top articles on operating systems. You can manage your subscription preferences anytime from your account settings.

Best,
The Editorial Team",0
"Hey Priya,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Friday.

Cheers,
Anjali",0
"Hi Meera,

Here's the invoice for your recent purchase, receipt #824042. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Ravi",0
"Attention:

Your subscription has expired on your Microsoft 365 account. Enter your login credentials to restore full access.

Click here to verify: http://microsoft365.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the Microsoft 365 team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Your account has been suspended on your DHL account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://secure-dhl-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Your parcel could not be delivered on your LinkedIn account. Verify now to claim your reward before it expires.

Click here to verify: http://192.168.44.12/linkedin/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the LinkedIn team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Sneha,

Attaching the notes from today's class on databases. Assignment 3 is due next Monday. Reach out during office hours if you need help.

Best,
Arjun",0
"Hi Priya,

Congrats on finishing the project milestone! Let's sync up Monday to plan next steps. I've shared the doc in our shared drive.

Best,
Ravi",0
"Hello Alex,

Your order #347231 has shipped and is expected to arrive by Friday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Hi Divya,

Attaching the notes from today's class on network security. Assignment 3 is due next Wednesday. Reach out during office hours if you need help.

Best,
Ravi",0
"Hi Alex,

Thanks for signing up for our newsletter. Here are this week's top articles on machine learning. You can manage your subscription preferences anytime from your account settings.

Best,
The Editorial Team",0
"Hi Alex,

Just a reminder that our team meeting is scheduled for Thursday at 2:30 PM. Please review the attached agenda before then and let me know if you have questions.

Thanks,
Ravi",0
"Dear Customer,

Immediate action required on your FedEx account. Enter your login credentials to restore full access.

Click here to verify: http://fedex-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the FedEx team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Your subscription has expired on your HDFC Bank account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://hdfcbank.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the HDFC Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

We noticed a login from a new device on your Chase Bank account. Enter your login credentials to restore full access.

Click here to verify: http://secure-chasebank-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Chase Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Ravi,

Here's the invoice for your recent purchase, receipt #715870. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Sneha",0
"Hey Meera,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Thursday.

Cheers,
Divya",0
"Hi Ravi,

Attaching the notes from today's class on machine learning. Assignment 3 is due next Wednesday. Reach out during office hours if you need help.

Best,
Karthik",0
"Hey Anjali,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Monday.

Cheers,
Arjun",0
"Hi Meera,

Thanks for signing up for our newsletter. Here are this week's top articles on machine learning. You can manage your subscription preferences anytime from your account settings.

Best,
The Editorial Team",0
"Hi Arjun,

Congrats on finishing the project milestone! Let's sync up Monday to plan next steps. I've shared the doc in our shared drive.

Best,
Priya",0
"Dear Customer,

Your account has been suspended on your Apple ID account. Verify now to claim your reward before it expires.

Click here to verify: http://secure-appleid-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Apple ID team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

Your account has been suspended on your Amazon account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://secure-amazon-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Amazon team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Divya,

Thanks for signing up for our newsletter. Here are this week's top articles on network security. You can manage your subscription preferences anytime from your account settings.

Best,
The Editorial Team",0
"Dear Anjali,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Meera",0
"Dear Customer,

Your account has been suspended on your SBI Bank account. Verify now to claim your reward before it expires.

Click here to verify: http://sbibank.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the SBI Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Arjun,

Attaching the notes from today's class on databases. Assignment 3 is due next Tuesday. Reach out during office hours if you need help.

Best,
Anjali",0
"Hi Priya,

Attaching the notes from today's class on machine learning. Assignment 3 is due next Monday. Reach out during office hours if you need help.

Best,
Arjun",0
"Dear Valued User,

Your parcel could not be delivered on your Google account. Verify now to claim your reward before it expires.

Click here to verify: http://192.168.44.12/google/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the Google team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

Your account has been suspended on your DHL account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://dhl.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Ravi,

Congrats on finishing the project milestone! Let's sync up Friday to plan next steps. I've shared the doc in our shared drive.

Best,
Meera",0
"Hey Priya,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Friday.

Cheers,
Meera",0
"Hi Arjun,

Here's the invoice for your recent purchase, receipt #519453. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Priya",0
"Hey Sneha,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Monday.

Cheers,
Anjali",0
"Dear Sam,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Anjali",0
"Dear Karthik,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Arjun",0
"Dear Meera,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Sam",0
"Dear Valued User,

Your account has been suspended on your Microsoft 365 account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://microsoft365.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Microsoft 365 team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Your subscription has expired on your Netflix account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://secure-netflix-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Netflix team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello Sneha,

Your order #994787 has shipped and is expected to arrive by Tuesday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Dear Customer,

Your account has been suspended on your Netflix account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://netflix.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Netflix team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Anjali,

Attaching the notes from today's class on network security. Assignment 3 is due next Thursday. Reach out during office hours if you need help.

Best,
Karthik",0
"Hi Karthik,

Congrats on finishing the project milestone! Let's sync up Friday to plan next steps. I've shared the doc in our shared drive.

Best,
Meera",0
"Dear Customer,

Security alert: verify your identity now on your Amazon account. Verify now to claim your reward before it expires.

Click here to verify: http://192.168.44.12/amazon/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the Amazon team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

Your payment could not be processed on your Google account. Enter your login credentials to restore full access.

Click here to verify: http://google.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Google team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Your account will be permanently closed within 24 hours on your Bank of America account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://secure-bankofamerica-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Bank of America team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Anjali,

Here's the invoice for your recent purchase, receipt #182804. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Sam",0
"Attention:

Security alert: verify your identity now on your HDFC Bank account. Update your billing information now to avoid service interruption.

Click here to verify: http://hdfcbank-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the HDFC Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Sam,

Just a reminder that our team meeting is scheduled for Friday at 11:00 AM. Please review the attached agenda before then and let me know if you have questions.

Thanks,
Anjali",0
"Hello Anjali,

Your order #326040 has shipped and is expected to arrive by Thursday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Hi Ravi,

Here's the invoice for your recent purchase, receipt #466566. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Priya",0
"Hey Karthik,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Thursday.

Cheers,
Anjali",0
"Attention:

Security alert: verify your identity now on your FedEx account. Enter your login credentials to restore full access.

Click here to verify: http://bit.ly/3xJ64kQ

Please act now to prevent unauthorized access to your account. This is an automated security message from the FedEx team.

If you do not respond within 24 hours your account access will be revoked.",1
"Attention:

Unusual sign-in activity detected on your Microsoft 365 account. Enter your login credentials to restore full access.

Click here to verify: http://bit.ly/3xJ62kQ

Please act now to prevent unauthorized access to your account. This is an automated security message from the Microsoft 365 team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Security alert: verify your identity now on your Bank of America account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://bankofamerica-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the Bank of America team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

You have won a prize on your FedEx account. Enter your login credentials to restore full access.

Click here to verify: http://secure-fedex-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the FedEx team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

You have won a prize on your Microsoft 365 account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://microsoft365.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the Microsoft 365 team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Unusual sign-in activity detected on your DHL account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://dhl-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello Karthik,

Your order #802667 has shipped and is expected to arrive by Wednesday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Hi Sam,

Congrats on finishing the project milestone! Let's sync up Monday to plan next steps. I've shared the doc in our shared drive.

Best,
Divya",0
"Hello,

Your account has been suspended on your LinkedIn account. Enter your login credentials to restore full access.

Click here to verify: http://linkedin.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the LinkedIn team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

Your password will expire today on your PayPal account. Verify now to claim your reward before it expires.

Click here to verify: http://192.168.44.12/paypal/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the PayPal team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Alex,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Alex",0
"Attention:

We noticed a login from a new device on your Steam account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://steam.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the Steam team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello Karthik,

Your order #621530 has shipped and is expected to arrive by Thursday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Dear Valued User,

Unusual sign-in activity detected on your DHL account. Verify now to claim your reward before it expires.

Click here to verify: http://dhl-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Attention:

Your subscription has expired on your Steam account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://steam.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Steam team.

If you do not respond within 24 hours your account access will be revoked.",1
"Attention:

Security alert: verify your identity now on your Steam account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://steam-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the Steam team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Meera,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Priya",0
"Dear Customer,

Immediate action required on your Microsoft 365 account. Update your billing information now to avoid service interruption.

Click here to verify: http://microsoft365.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Microsoft 365 team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Arjun,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Sam",0
"Dear Customer,

Your account will be permanently closed within 24 hours on your Steam account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://bit.ly/3xJ42kQ

Please act now to prevent unauthorized access to your account. This is an automated security message from the Steam team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Meera,

Congrats on finishing the project milestone! Let's sync up Monday to plan next steps. I've shared the doc in our shared drive.

Best,
Ravi",0
"Dear Valued User,

Security alert: verify your identity now on your Steam account. Enter your login credentials to restore full access.

Click here to verify: http://secure-steam-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Steam team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Alex,

Here's the invoice for your recent purchase, receipt #649697. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Anjali",0
"Dear Customer,

Your account has been suspended on your Microsoft 365 account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://microsoft365.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Microsoft 365 team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

Your parcel could not be delivered on your LinkedIn account. Update your billing information now to avoid service interruption.

Click here to verify: http://192.168.44.12/linkedin/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the LinkedIn team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Immediate action required on your Facebook account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://secure-facebook-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the Facebook team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Your parcel could not be delivered on your SBI Bank account. Verify now to claim your reward before it expires.

Click here to verify: http://192.168.44.12/sbibank/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the SBI Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Arjun,

Thanks for signing up for our newsletter. Here are this week's top articles on data structures. You can manage your subscription preferences anytime from your account settings.

Best,
The Editorial Team",0
"Dear Valued User,

Immediate action required on your Steam account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://steam.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Steam team.

If you do not respond within 24 hours your account access will be revoked.",1
"Attention:

Your parcel could not be delivered on your Steam account. Failure to verify will result in permanent suspension of your account.

Click here to verify: http://bit.ly/3xJ10kQ

Please act now to prevent unauthorized access to your account. This is an automated security message from the Steam team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hey Ravi,

Happy birthday! Hope you have a great day. Let's catch up for coffee sometime this Monday.

Cheers,
Meera",0
"Dear Meera,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Priya",0
"Hello Sneha,

Your order #387892 has shipped and is expected to arrive by Wednesday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Hello Meera,

Your order #962367 has shipped and is expected to arrive by Friday. You can track it using the courier's official tracking page linked in your account order history.

Thank you for shopping with us.",0
"Dear Valued User,

Your subscription has expired on your Chase Bank account. Enter your login credentials to restore full access.

Click here to verify: http://chasebank.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Chase Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Anjali,

This is your monthly account statement summary. Your balance and recent transactions are available when you log in directly through the official banking app as usual. No action is required.

Regards,
Divya",0
"Attention:

Your password will expire today on your LinkedIn account. Click the link below within 24 hours or your account will be locked permanently.

Click here to verify: http://linkedin-support.security-check.net

Please act now to prevent unauthorized access to your account. This is an automated security message from the LinkedIn team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Sam,

Attaching the notes from today's class on data structures. Assignment 3 is due next Friday. Reach out during office hours if you need help.

Best,
Arjun",0
"Attention:

Security alert: verify your identity now on your DHL account. Enter your login credentials to restore full access.

Click here to verify: http://192.168.44.12/dhl/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Customer,

We noticed a login from a new device on your Apple ID account. Update your billing information now to avoid service interruption.

Click here to verify: http://appleid.account-update.info/confirm

Please act now to prevent unauthorized access to your account. This is an automated security message from the Apple ID team.

If you do not respond within 24 hours your account access will be revoked.",1
"Attention:

Your account will be permanently closed within 24 hours on your HDFC Bank account. Verify now to claim your reward before it expires.

Click here to verify: http://192.168.44.12/hdfcbank/reset

Please act now to prevent unauthorized access to your account. This is an automated security message from the HDFC Bank team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hello,

Your subscription has expired on your Google account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://google.com-verify-account.ru/signin

Please act now to prevent unauthorized access to your account. This is an automated security message from the Google team.

If you do not respond within 24 hours your account access will be revoked.",1
"Dear Valued User,

Your payment could not be processed on your Microsoft 365 account. Please confirm your password and card details immediately to avoid closure.

Click here to verify: http://bit.ly/3xJ39kQ

Please act now to prevent unauthorized access to your account. This is an automated security message from the Microsoft 365 team.

If you do not respond within 24 hours your account access will be revoked.",1
"Hi Alex,

Here's the invoice for your recent purchase, receipt #782759. If you have any questions about the charge, reply to this email or contact support through the app.

Thanks,
Priya",0
"Attention:

Your password will expire today on your DHL account. Update your billing information now to avoid service interruption.

Click here to verify: http://secure-dhl-verify.com/login

Please act now to prevent unauthorized access to your account. This is an automated security message from the DHL team.

If you do not respond within 24 hours your account access will be revoked.",1
